sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078
K,41,35538.0,34208.0,33212.0,32897.0,32682.0,31412.0,30954.0,31276.0,31413.0,31330.0,31952.0,31733.0,32421.0,32883.0,32474.0,31384.0,31243.0,30497.0,30112.0,29854.0,29599.0,28445.0,27627.0,27399.0,26739.0,27944.0,25206.0,26791.0,26609.0,26117.0,25985.0,25739.0,25461.0,25336.0,24983.0,24654.0,24663.0,24269.0,23896.0,23719.0,23779.0
K,42,35732.0,35526.0,34195.0,33203.0,32889.0,32677.0,31406.0,30946.0,31266.0,31408.0,31326.0,31947.0,31730.0,32420.0,32881.0,32473.0,31380.0,31239.0,30495.0,30109.0,29849.0,29595.0,28442.0,27626.0,27398.0,26735.0,27943.0,25203.0,26789.0,26608.0,26113.0,25982.0,25739.0,25460.0,25334.0,24983.0,24653.0,24661.0,24265.0,23895.0,23718.0
K,43,36178.0,35717.0,35514.0,34184.0,33190.0,32877.0,32671.0,31399.0,30945.0,31261.0,31402.0,31317.0,31947.0,31724.0,32419.0,32879.0,32471.0,31380.0,31236.0,30494.0,30108.0,29846.0,29591.0,28440.0,27623.0,27397.0,26733.0,27941.0,25203.0,26788.0,26607.0,26112.0,25978.0,25737.0,25460.0,25333.0,24981.0,24651.0,24660.0,24265.0,23893.0
K,44,36766.0,36170.0,35700.0,35506.0,34175.0,33184.0,32873.0,32664.0,31390.0,30940.0,31254.0,31400.0,31317.0,31941.0,31722.0,32415.0,32873.0,32471.0,31378.0,31231.0,30494.0,30103.0,29840.0,29589.0,28437.0,27620.0,27396.0,26729.0,27941.0,25198.0,26783.0,26606.0,26108.0,25978.0,25737.0,25456.0,25331.0,24980.0,24650.0,24658.0,24263.0
K,45,37433.0,36744.0,36149.0,35686.0,35497.0,34155.0,33178.0,32863.0,32658.0,31382.0,30934.0,31249.0,31393.0,31310.0,31937.0,31719.0,32414.0,32867.0,32464.0,31376.0,31226.0,30491.0,30098.0,29839.0,29588.0,28430.0,27618.0,27392.0,26727.0,27937.0,25197.0,26783.0,26603.0,26106.0,25974.0,25734.0,25452.0,25329.0,24975.0,24649.0,24655.0
K,46,38275.0,37412.0,36732.0,36135.0,35673.0,35486.0,34144.0,33162.0,32848.0,32650.0,31376.0,30930.0,31245.0,31387.0,31304.0,31936.0,31712.0,32412.0,32861.0,32460.0,31370.0,31219.0,30488.0,30094.0,29837.0,29585.0,28427.0,27614.0,27390.0,26720.0,27934.0,25191.0,26781.0,26600.0,26100.0,25974.0,25729.0,25450.0,25327.0,24973.0,24647.0
K,47,39082.0,38256.0,37393.0,36712.0,36116.0,35659.0,35477.0,34128.0,33155.0,32843.0,32641.0,31370.0,30922.0,31238.0,31381.0,31303.0,31927.0,31708.0,32409.0,32859.0,32453.0,31370.0,31218.0,30485.0,30093.0,29835.0,29582.0,28421.0,27614.0,27387.0,26718.0,27931.0,25190.0,26781.0,26597.0,26098.0,25971.0,25724.0,25446.0,25325.0,24969.0
K,48,38590.0,39058.0,38246.0,37371.0,36703.0,36105.0,35650.0,35467.0,34113.0,33146.0,32833.0,32637.0,31364.0,30918.0,31235.0,31379.0,31300.0,31924.0,31707.0,32406.0,32854.0,32449.0,31364.0,31217.0,30483.0,30088.0,29833.0,29579.0,28417.0,27609.0,27384.0,26716.0,27929.0,25188.0,26780.0,26595.0,26092.0,25969.0,25723.0,25442.0,25322.0
K,49,38255.0,38572.0,39034.0,38226.0,37355.0,36690.0,36095.0,35633.0,35457.0,34104.0,33141.0,32829.0,32634.0,31356.0,30917.0,31233.0,31376.0,31298.0,31919.0,31706.0,32404.0,32849.0,32444.0,31358.0,31212.0,30479.0,30086.0,29830.0,29578.0,28414.0,27605.0,27375.0,26714.0,27927.0,25188.0,26778.0,26594.0,26089.0,25963.0,25721.0,25439.0
K,50,37095.0,38225.0,38541.0,39011.0,38202.0,37328.0,36675.0,36071.0,35620.0,35442.0,34088.0,33135.0,32822.0,32622.0,31349.0,30911.0,31228.0,31370.0,31290.0,31917.0,31698.0,32397.0,32846.0,32439.0,31349.0,31209.0,30470.0,30080.0,29823.0,29576.0,28408.0,27603.0,27369.0,26708.0,27920.0,25183.0,26773.0,26589.0,26087.0,25957.0,25721.0
K,51,36380.0,37064.0,38198.0,38519.0,38997.0,38178.0,37309.0,36654.0,36059.0,35611.0,35429.0,34077.0,33122.0,32813.0,32614.0,31341.0,30906.0,31225.0,31368.0,31285.0,31912.0,31694.0,32393.0,32844.0,32433.0,31345.0,31206.0,30466.0,30074.0,29818.0,29569.0,28403.0,27597.0,27364.0,26702.0,27914.0,25180.0,26766.0,26587.0,26083.0,25952.0
K,52,35761.0,36348.0,37043.0,38175.0,38491.0,38974.0,38163.0,37297.0,36633.0,36048.0,35597.0,35417.0,34068.0,33112.0,32806.0,32607.0,31337.0,30901.0,31223.0,31362.0,31282.0,31905.0,31684.0,32387.0,32840.0,32428.0,31339.0,31201.0,30461.0,30070.0,29810.0,29564.0,28395.0,27590.0,27357.0,26699.0,27912.0,25175.0,26763.0,26582.0,26075.0
K,53,35473.0,35735.0,36324.0,37015.0,38152.0,38474.0,38956.0,38151.0,37276.0,36611.0,36034.0,35588.0,35412.0,34061.0,33111.0,32803.0,32603.0,31329.0,30893.0,31219.0,31351.0,31273.0,31897.0,31682.0,32380.0,32835.0,32419.0,31334.0,31196.0,30458.0,30065.0,29808.0,29559.0,28389.0,27584.0,27354.0,26695.0,27906.0,25168.0,26758.0,26579.0
K,54,34803.0,35448.0,35718.0,36300.0,36989.0,38124.0,38452.0,38938.0,38133.0,37263.0,36597.0,36025.0,35581.0,35403.0,34054.0,33102.0,32798.0,32597.0,31320.0,30887.0,31212.0,31344.0,31263.0,31891.0,31677.0,32375.0,32829.0,32412.0,31326.0,31189.0,30452.0,30058.0,29803.0,29555.0,28384.0,27579.0,27353.0,26694.0,27905.0,25164.0,26753.0
K,55,35025.0,34765.0,35405.0,35670.0,36263.0,36956.0,38095.0,38422.0,38903.0,38105.0,37244.0,36580.0,36013.0,35568.0,35387.0,34038.0,33094.0,32791.0,32585.0,31311.0,30878.0,31203.0,31337.0,31258.0,31879.0,31669.0,32366.0,32816.0,32406.0,31315.0,31185.0,30443.0,30049.0,29790.0,29548.0,28379.0,27570.0,27348.0,26684.0,27897.0,25158.0
K,56,34421.0,34976.0,34728.0,35372.0,35627.0,36231.0,36913.0,38059.0,38385.0,38882.0,38089.0,37224.0,36564.0,36001.0,35556.0,35375.0,34024.0,33079.0,32779.0,32578.0,31300.0,30871.0,31195.0,31334.0,31248.0,31874.0,31665.0,32350.0,32809.0,32398.0,31306.0,31180.0,30432.0,30041.0,29785.0,29542.0,28372.0,27560.0,27343.0,26676.0,27889.0
K,57,34501.0,34381.0,34925.0,34697.0,35324.0,35588.0,36191.0,36877.0,38028.0,38364.0,38858.0,38071.0,37206.0,36550.0,35987.0,35550.0,35362.0,34012.0,33073.0,32769.0,32570.0,31287.0,30863.0,31185.0,31325.0,31237.0,31865.0,31657.0,32343.0,32802.0,32391.0,31297.0,31168.0,30424.0,30030.0,29779.0,29536.0,28363.0,27551.0,27336.0,26666.0
K,58,33903.0,34456.0,34337.0,34889.0,34661.0,35287.0,35548.0,36169.0,36853.0,38011.0,38350.0,38842.0,38063.0,37192.0,36538.0,35973.0,35536.0,35347.0,34002.0,33060.0,32761.0,32558.0,31277.0,30848.0,31175.0,31319.0,31225.0,31860.0,31644.0,32330.0,32787.0,32388.0,31288.0,31155.0,30418.0,30018.0,29772.0,29530.0,28358.0,27539.0,27328.0
K,59,33497.0,33867.0,34418.0,34294.0,34855.0,34632.0,35255.0,35521.0,36139.0,36837.0,37984.0,38329.0,38831.0,38044.0,37178.0,36529.0,35963.0,35525.0,35331.0,33991.0,33054.0,32752.0,32552.0,31267.0,30844.0,31168.0,31310.0,31216.0,31850.0,31637.0,32321.0,32769.0,32376.0,31281.0,31148.0,30414.0,30014.0,29766.0,29528.0,28352.0,27532.0
