sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,36,36743.0,37388.0,38562.0,38823.0,39327.0,38507.0,37610.0,36892.0,36281.0,35803.0,35625.0,34236.0,33221.0,32932.0,32749.0,31450.0,30965.0,31327.0,31407.0,31353.0,31954.0,31774.0,32460.0,32905.0,32481.0,31410.0,31259.0,30500.0,30139.0,29865.0,29611.0,28469.0,27618.0,27393.0,26739.0,27963.0
K,37,36160.0,36728.0,37359.0,38547.0,38810.0,39304.0,38488.0,37597.0,36877.0,36258.0,35790.0,35615.0,34227.0,33210.0,32919.0,32740.0,31443.0,30958.0,31323.0,31402.0,31345.0,31951.0,31770.0,32452.0,32899.0,32479.0,31409.0,31253.0,30500.0,30139.0,29862.0,29609.0,28468.0,27616.0,27392.0,26735.0
K,38,35848.0,36147.0,36708.0,37341.0,38527.0,38783.0,39285.0,38466.0,37582.0,36868.0,36239.0,35775.0,35598.0,34216.0,33202.0,32913.0,32732.0,31434.0,30953.0,31317.0,31396.0,31339.0,31947.0,31764.0,32448.0,32895.0,32470.0,31409.0,31246.0,30499.0,30134.0,29860.0,29608.0,28466.0,27616.0,27390.0
K,39,35243.0,35839.0,36132.0,36693.0,37327.0,38502.0,38757.0,39267.0,38446.0,37569.0,36846.0,36228.0,35761.0,35586.0,34205.0,33197.0,32903.0,32728.0,31432.0,30949.0,31314.0,31392.0,31337.0,31943.0,31759.0,32446.0,32889.0,32463.0,31409.0,31245.0,30497.0,30134.0,29859.0,29608.0,28465.0,27613.0
K,40,35525.0,35233.0,35821.0,36106.0,36661.0,37311.0,38487.0,38733.0,39242.0,38418.0,37543.0,36827.0,36211.0,35746.0,35572.0,34187.0,33182.0,32895.0,32719.0,31422.0,30943.0,31307.0,31389.0,31328.0,31939.0,31754.0,32443.0,32887.0,32461.0,31405.0,31244.0,30493.0,30132.0,29859.0,29606.0,28462.0
K,41,34990.0,35501.0,35218.0,35799.0,36080.0,36621.0,37293.0,38452.0,38710.0,39213.0,38388.0,37516.0,36814.0,36195.0,35729.0,35563.0,34163.0,33175.0,32887.0,32712.0,31416.0,30937.0,31299.0,31387.0,31326.0,31935.0,31744.0,32439.0,32880.0,32457.0,31399.0,31242.0,30492.0,30131.0,29857.0,29602.0
K,42,35089.0,34965.0,35474.0,35187.0,35773.0,36064.0,36587.0,37263.0,38425.0,38693.0,39193.0,38370.0,37502.0,36796.0,36182.0,35715.0,35549.0,34155.0,33170.0,32881.0,32708.0,31407.0,30929.0,31293.0,31385.0,31321.0,31930.0,31744.0,32435.0,32878.0,32457.0,31397.0,31237.0,30490.0,30127.0,29854.0
K,43,34563.0,35066.0,34931.0,35447.0,35161.0,35751.0,36038.0,36557.0,37242.0,38406.0,38679.0,39172.0,38353.0,37482.0,36773.0,36170.0,35708.0,35541.0,34146.0,33162.0,32865.0,32702.0,31402.0,30927.0,31287.0,31382.0,31319.0,31925.0,31739.0,32432.0,32873.0,32456.0,31393.0,31235.0,30488.0,30126.0
K,44,34236.0,34542.0,35043.0,34911.0,35419.0,35144.0,35721.0,36014.0,36535.0,37223.0,38386.0,38659.0,39152.0,38332.0,37470.0,36755.0,36161.0,35695.0,35533.0,34136.0,33153.0,32858.0,32696.0,31392.0,30924.0,31279.0,31379.0,31314.0,31923.0,31735.0,32430.0,32873.0,32453.0,31390.0,31234.0,30486.0
K,45,33520.0,34206.0,34509.0,35004.0,34878.0,35384.0,35105.0,35692.0,35985.0,36501.0,37190.0,38354.0,38625.0,39126.0,38311.0,37456.0,36732.0,36151.0,35683.0,35522.0,34123.0,33142.0,32848.0,32684.0,31379.0,30916.0,31273.0,31373.0,31311.0,31918.0,31733.0,32427.0,32870.0,32449.0,31387.0,31228.0
K,46,34033.0,33491.0,34164.0,34470.0,34966.0,34841.0,35344.0,35063.0,35655.0,35960.0,36471.0,37162.0,38329.0,38593.0,39102.0,38285.0,37433.0,36711.0,36128.0,35670.0,35514.0,34117.0,33132.0,32836.0,32673.0,31374.0,30912.0,31269.0,31369.0,31306.0,31913.0,31730.0,32421.0,32863.0,32444.0,31385.0
K,47,35177.0,34009.0,33467.0,34137.0,34429.0,34932.0,34807.0,35312.0,35034.0,35630.0,35930.0,36442.0,37132.0,38301.0,38569.0,39077.0,38262.0,37416.0,36691.0,36108.0,35656.0,35494.0,34106.0,33128.0,32826.0,32667.0,31367.0,30908.0,31267.0,31362.0,31302.0,31911.0,31728.0,32416.0,32858.0,32441.0
K,48,36600.0,35145.0,33975.0,33435.0,34099.0,34393.0,34910.0,34785.0,35275.0,35005.0,35601.0,35896.0,36419.0,37105.0,38274.0,38553.0,39057.0,38243.0,37400.0,36672.0,36096.0,35644.0,35487.0,34091.0,33123.0,32823.0,32661.0,31359.0,30907.0,31264.0,31357.0,31296.0,31906.0,31722.0,32412.0,32855.0
K,49,36215.0,36565.0,35119.0,33938.0,33391.0,34061.0,34358.0,34880.0,34755.0,35249.0,34983.0,35574.0,35877.0,36398.0,37078.0,38253.0,38530.0,39038.0,38233.0,37377.0,36657.0,36085.0,35641.0,35481.0,34079.0,33117.0,32819.0,32659.0,31355.0,30900.0,31258.0,31351.0,31294.0,31903.0,31719.0,32411.0
K,50,37446.0,36176.0,36496.0,35051.0,33880.0,33337.0,33994.0,34305.0,34837.0,34714.0,35204.0,34937.0,35524.0,35819.0,36361.0,37043.0,38225.0,38498.0,39011.0,38204.0,37365.0,36645.0,36072.0,35628.0,35466.0,34069.0,33107.0,32810.0,32654.0,31348.0,30889.0,31254.0,31343.0,31288.0,31894.0,31712.0
K,51,37536.0,37383.0,36115.0,36435.0,34985.0,33818.0,33283.0,33944.0,34260.0,34796.0,34665.0,35162.0,34902.0,35488.0,35783.0,36331.0,37014.0,38199.0,38463.0,38991.0,38183.0,37343.0,36622.0,36060.0,35610.0,35455.0,34059.0,33100.0,32806.0,32653.0,31342.0,30883.0,31247.0,31336.0,31283.0,31886.0
K,52,37024.0,37478.0,37325.0,36059.0,36386.0,34937.0,33764.0,33234.0,33905.0,34208.0,34750.0,34629.0,35128.0,34854.0,35445.0,35747.0,36303.0,36992.0,38177.0,38443.0,38963.0,38166.0,37322.0,36612.0,36051.0,35597.0,35444.0,34057.0,33091.0,32800.0,32644.0,31338.0,30878.0,31239.0,31326.0,31280.0
K,53,37660.0,36975.0,37414.0,37259.0,35993.0,36316.0,34886.0,33708.0,33186.0,33856.0,34145.0,34704.0,34582.0,35088.0,34823.0,35422.0,35719.0,36271.0,36968.0,38164.0,38427.0,38938.0,38143.0,37304.0,36596.0,36039.0,35590.0,35438.0,34053.0,33077.0,32797.0,32637.0,31332.0,30870.0,31234.0,31321.0
K,54,37209.0,37587.0,36898.0,37355.0,37201.0,35929.0,36270.0,34829.0,33660.0,33145.0,33805.0,34100.0,34668.0,34555.0,35044.0,34797.0,35394.0,35692.0,36242.0,36939.0,38137.0,38413.0,38912.0,38115.0,37285.0,36590.0,36026.0,35584.0,35429.0,34046.0,33070.0,32796.0,32629.0,31323.0,30866.0,31227.0
