sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053
M,0,23771.0,23635.0,25099.0,27129.0,28715.0,30501.0,31831.0,31389.0,30837.0,30640.0,30110.0,29869.0,29367.0,28852.0,28610.0,28039.0
M,1,23965.0,23767.0,23631.0,25097.0,27125.0,28712.0,30497.0,31829.0,31386.0,30835.0,30635.0,30105.0,29868.0,29362.0,28852.0,28608.0
M,2,24060.0,23950.0,23759.0,23631.0,25091.0,27120.0,28706.0,30491.0,31824.0,31381.0,30831.0,30633.0,30103.0,29866.0,29361.0,28849.0
M,3,24151.0,24055.0,23949.0,23752.0,23628.0,25085.0,27115.0,28700.0,30489.0,31820.0,31377.0,30828.0,30632.0,30102.0,29864.0,29360.0
M,4,24172.0,24147.0,24050.0,23945.0,23749.0,23626.0,25082.0,27113.0,28696.0,30486.0,31815.0,31373.0,30826.0,30632.0,30101.0,29863.0
M,5,24089.0,24171.0,24147.0,24050.0,23945.0,23747.0,23625.0,25082.0,27113.0,28696.0,30485.0,31815.0,31372.0,30826.0,30631.0,30101.0
M,6,24759.0,24089.0,24171.0,24147.0,24049.0,23945.0,23746.0,23625.0,25081.0,27113.0,28695.0,30485.0,31815.0,31372.0,30825.0,30631.0
M,7,24937.0,24758.0,24088.0,24171.0,24146.0,24049.0,23945.0,23746.0,23625.0,25079.0,27112.0,28695.0,30484.0,31815.0,31372.0,30825.0
M,8,25179.0,24937.0,24758.0,24087.0,24171.0,24146.0,24048.0,23945.0,23746.0,23625.0,25079.0,27112.0,28695.0,30484.0,31815.0,31372.0
M,9,25442.0,25179.0,24934.0,24757.0,24085.0,24171.0,24145.0,24048.0,23944.0,23745.0,23625.0,25079.0,27112.0,28695.0,30484.0,31815.0
M,10,25759.0,25442.0,25178.0,24933.0,24756.0,24085.0,24170.0,24144.0,24047.0,23944.0,23744.0,23624.0,25079.0,27112.0,28694.0,30484.0
