sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,85,19476.0,20106.0,20746.0,21343.0,22341.0,22412.0,23276.0,23864.0,24313.0,24831.0,25493.0,26820.0,28083.0,29054.0,29807.0,30695.0,31857.0,32573.0,32285.0,33067.0,33103.0
K,86,17465.0,18768.0,19395.0,20114.0,20751.0,21722.0,21859.0,22712.0,23326.0,23855.0,24383.0,25079.0,26471.0,27810.0,28714.0,29494.0,30412.0,31519.0,32267.0,32012.0,32763.0
K,87,16846.0,16731.0,18122.0,18769.0,19520.0,20176.0,21155.0,21309.0,22190.0,22876.0,23446.0,24007.0,24785.0,26239.0,27529.0,28412.0,29229.0,30093.0,31201.0,31981.0,31708.0
K,88,15660.0,16219.0,16119.0,17495.0,18196.0,18941.0,19641.0,20657.0,20819.0,21754.0,22477.0,23060.0,23659.0,24501.0,25975.0,27240.0,28145.0,28933.0,29822.0,30944.0,31703.0
K,89,14716.0,15031.0,15693.0,15577.0,16945.0,17676.0,18425.0,19192.0,20207.0,20440.0,21384.0,22126.0,22784.0,23401.0,24237.0,25708.0,26955.0,27888.0,28696.0,29544.0,30669.0
K,90,13602.0,13387.0,13822.0,14540.0,14475.0,15871.0,16583.0,17385.0,18276.0,19339.0,19646.0,20665.0,21483.0,22172.0,22833.0,23661.0,25087.0,26367.0,27286.0,28066.0,28938.0
K,91,9226.0,9317.0,9229.0,9691.0,10210.0,10192.0,11303.0,11713.0,12386.0,13159.0,13873.0,14210.0,14968.0,15630.0,16094.0,16721.0,17359.0,18349.0,19244.0,19961.0,20621.0
K,92,5396.0,6349.0,6477.0,6376.0,6750.0,7216.0,7271.0,8027.0,8300.0,8908.0,9450.0,9997.0,10335.0,10988.0,11467.0,11805.0,12126.0,12686.0,13506.0,14168.0,14707.0
K,93,3356.0,3722.0,4352.0,4474.0,4432.0,4734.0,5037.0,5139.0,5685.0,5924.0,6439.0,6837.0,7345.0,7620.0,7985.0,8305.0,8592.0,8890.0,9297.0,9941.0,10383.0
K,94,1855.0,2283.0,2611.0,3048.0,3128.0,3085.0,3340.0,3549.0,3683.0,4098.0,4295.0,4655.0,4976.0,5361.0,5621.0,5876.0,6055.0,6247.0,6447.0,6821.0,7320.0
K,95,1006.0,1126.0,1431.0,1651.0,1951.0,2074.0,2066.0,2192.0,2381.0,2486.0,2826.0,2968.0,3272.0,3582.0,3793.0,4037.0,4206.0,4321.0,4423.0,4586.0,4866.0
K,96,511.0,631.0,739.0,909.0,1071.0,1254.0,1362.0,1365.0,1467.0,1597.0,1707.0,1985.0,2086.0,2348.0,2569.0,2695.0,2859.0,2985.0,3037.0,3131.0,3293.0
K,97,261.0,299.0,389.0,480.0,584.0,689.0,850.0,911.0,900.0,971.0,1065.0,1193.0,1414.0,1482.0,1674.0,1831.0,1892.0,2001.0,2121.0,2164.0,2229.0
K,98,165.0,163.0,183.0,243.0,315.0,376.0,468.0,590.0,606.0,629.0,687.0,767.0,837.0,1021.0,1074.0,1167.0,1304.0,1333.0,1434.0,1539.0,1579.0
K,99,81.0,100.0,112.0,126.0,168.0,213.0,254.0,312.0,402.0,402.0,430.0,469.0,543.0,602.0,732.0,762.0,803.0,942.0,949.0,1016.0,1111.0
K,100,21.0,50.0,60.0,66.0,75.0,87.0,129.0,167.0,197.0,246.0,268.0,290.0,307.0,356.0,408.0,497.0,550.0,578.0,658.0,668.0,733.0
K,101,9.0,6.0,12.0,16.0,16.0,16.0,29.0,36.0,52.0,61.0,84.0,101.0,100.0,109.0,121.0,120.0,161.0,187.0,201.0,247.0,232.0
K,102,3.0,3.0,2.0,5.0,6.0,9.0,7.0,15.0,13.0,16.0,19.0,34.0,36.0,40.0,39.0,49.0,49.0,63.0,68.0,73.0,100.0
K,103,,1.0,2.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,4.0,8.0,11.0,16.0,14.0,21.0,17.0,19.0,18.0,23.0,23.0
K,104,,,,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,6.0,10.0,10.0,10.0,5.0
K,105,,,,,,1.0,2.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
K,106,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
K,107,,,,,,,,,,,,,,,,,,,1.0,1.0,
K,108,,,,,,,,,,,,,,,,,,,,1.0,1.0
