sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,52,37024.0,37475.0,37342.0,36035.0,36393.0,34932.0,33743.0,33230.0,33889.0,34201.0,34701.0,34628.0,35142.0,34838.0,35423.0,35764.0,36301.0,36983.0,38178.0,38438.0,38997.0,38134.0,37270.0,36564.0,36001.0,35565.0,35406.0,34036.0,33038.0,32755.0,32597.0,31305.0,30854.0,31135.0,31318.0,31260.0
K,53,37660.0,36979.0,37421.0,37291.0,35978.0,36336.0,34876.0,33698.0,33178.0,33827.0,34157.0,34663.0,34587.0,35105.0,34810.0,35388.0,35736.0,36265.0,36946.0,38147.0,38411.0,38966.0,38113.0,37243.0,36546.0,35985.0,35549.0,35393.0,34022.0,33028.0,32748.0,32589.0,31300.0,30850.0,31127.0,31309.0
K,54,37209.0,37611.0,36922.0,37352.0,37226.0,35920.0,36266.0,34820.0,33646.0,33132.0,33790.0,34116.0,34623.0,34555.0,35069.0,34768.0,35355.0,35707.0,36224.0,36920.0,38120.0,38388.0,38945.0,38091.0,37212.0,36528.0,35973.0,35538.0,35383.0,34014.0,33018.0,32742.0,32582.0,31291.0,30845.0,31123.0
K,55,36217.0,37132.0,37524.0,36838.0,37254.0,37131.0,35825.0,36175.0,34735.0,33576.0,33055.0,33728.0,34042.0,34566.0,34495.0,35009.0,34724.0,35298.0,35664.0,36188.0,36870.0,38077.0,38346.0,38909.0,38070.0,37186.0,36499.0,35952.0,35523.0,35367.0,33997.0,33011.0,32731.0,32577.0,31283.0,30835.0
K,56,35480.0,36135.0,37028.0,37440.0,36750.0,37143.0,37033.0,35737.0,36076.0,34669.0,33517.0,33005.0,33664.0,33972.0,34503.0,34428.0,34960.0,34667.0,35254.0,35620.0,36139.0,36832.0,38042.0,38321.0,38870.0,38045.0,37156.0,36482.0,35931.0,35500.0,35356.0,33988.0,33002.0,32722.0,32566.0,31273.0
K,57,34879.0,35389.0,36053.0,36933.0,37334.0,36640.0,37059.0,36948.0,35641.0,35990.0,34591.0,33441.0,32935.0,33598.0,33920.0,34442.0,34381.0,34916.0,34620.0,35225.0,35581.0,36098.0,36798.0,38005.0,38289.0,38846.0,38021.0,37138.0,36457.0,35916.0,35483.0,35341.0,33981.0,32985.0,32715.0,32553.0
K,58,34275.0,34792.0,35302.0,35959.0,36831.0,37242.0,36552.0,36990.0,36851.0,35550.0,35917.0,34517.0,33368.0,32882.0,33544.0,33880.0,34392.0,34329.0,34877.0,34577.0,35178.0,35546.0,36064.0,36762.0,37971.0,38250.0,38823.0,37998.0,37113.0,36431.0,35896.0,35465.0,35321.0,33967.0,32972.0,32700.0
K,59,33194.0,34196.0,34707.0,35202.0,35859.0,36733.0,37145.0,36450.0,36906.0,36770.0,35471.0,35834.0,34441.0,33304.0,32817.0,33491.0,33829.0,34348.0,34286.0,34829.0,34540.0,35144.0,35511.0,36035.0,36733.0,37945.0,38226.0,38798.0,37976.0,37092.0,36414.0,35879.0,35450.0,35303.0,33956.0,32960.0
K,60,32018.0,33076.0,34051.0,34562.0,35057.0,35687.0,36610.0,36999.0,36323.0,36757.0,36635.0,35338.0,35734.0,34349.0,33206.0,32728.0,33416.0,33769.0,34266.0,34215.0,34774.0,34485.0,35095.0,35442.0,35985.0,36690.0,37905.0,38183.0,38764.0,37947.0,37061.0,36391.0,35865.0,35433.0,35281.0,33937.0
K,61,31506.0,31896.0,32945.0,33902.0,34419.0,34909.0,35528.0,36464.0,36828.0,36199.0,36621.0,36507.0,35207.0,35633.0,34262.0,33125.0,32663.0,33349.0,33708.0,34192.0,34151.0,34724.0,34432.0,35034.0,35388.0,35950.0,36650.0,37865.0,38145.0,38733.0,37912.0,37037.0,36374.0,35846.0,35418.0,35262.0
K,62,31028.0,31399.0,31765.0,32792.0,33739.0,34262.0,34778.0,35382.0,36328.0,36672.0,36083.0,36481.0,36405.0,35095.0,35510.0,34164.0,33058.0,32587.0,33289.0,33645.0,34131.0,34077.0,34677.0,34374.0,34995.0,35345.0,35916.0,36613.0,37826.0,38100.0,38705.0,37890.0,37019.0,36353.0,35823.0,35399.0
K,63,30842.0,30916.0,31256.0,31618.0,32652.0,33577.0,34113.0,34630.0,35241.0,36183.0,36541.0,35962.0,36379.0,36299.0,35005.0,35421.0,34091.0,32992.0,32519.0,33234.0,33593.0,34076.0,34018.0,34622.0,34326.0,34966.0,35303.0,35880.0,36576.0,37791.0,38067.0,38684.0,37867.0,36996.0,36336.0,35809.0
