sex,alder,pop_2023,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
M,84,28682.0,29563.0,30463.0,29860.0,29772.0,31066.0,32053.0,32126.0,33356.0,33684.0,35301.0,35887.0,35516.0,35090.0,34836.0,34041.0,34415.0,34272.0,34408.0,33083.0,32500.0,32013.0,31101.0,32365.0,30033.0,30081.0,29757.0,29414.0,29114.0,28920.0,28689.0,28436.0,28045.0,27713.0,27464.0,27348.0,26983.0,26994.0,26734.0,26465.0,26473.0,26475.0,26183.0,26226.0,25901.0,25565.0,25207.0,24854.0,24682.0,24405.0,24179.0,23545.0,23485,23184,22718.0,22420.0,22371.0,22011.0
M,85,27093.0,28140.0,29103.0,29975.0,29314.0,29296.0,30513.0,31504.0,31646.0,32854.0,33158.0,34703.0,35404.0,34968.0,34571.0,34291.0,33518.0,33897.0,33741.0,33898.0,32574.0,31989.0,31475.0,30622.0,31879.0,29531.0,29615.0,29263.0,28944.0,28639.0,28437.0,28236.0,27971.0,27597.0,27269.0,27031.0,26899.0,26536.0,26543.0,26281.0,25985.0,26030.0,26036.0,25731.0,25763.0,25472.0,25121.0,24762.0,24421.0,24255.0,23960.0,23732.0,23098,23053,22766.0,22318.0,22001.0,21934.0
M,86,25848.0,26603.0,27621.0,28628.0,29468.0,28795.0,28810.0,30013.0,31034.0,31134.0,32345.0,32671.0,34168.0,34859.0,34439.0,34018.0,33787.0,33016.0,33381.0,33221.0,33374.0,32083.0,31493.0,30995.0,30118.0,31377.0,29070.0,29154.0,28794.0,28459.0,28160.0,27950.0,27756.0,27559.0,27110.0,26798.0,26595.0,26461.0,26102.0,26089.0,25839.0,25540.0,25607.0,25569.0,25269.0,25279.0,25008.0,24651.0,24308.0,23989.0,23789.0,23572.0,23308,22686,22664.0,22341.0,21889.0,21587.0
M,87,23853.0,25380.0,26150.0,27140.0,28102.0,28960.0,28348.0,28364.0,29504.0,30550.0,30603.0,31824.0,32129.0,33663.0,34292.0,33924.0,33490.0,33260.0,32503.0,32860.0,32711.0,32825.0,31556.0,31026.0,30529.0,29651.0,30873.0,28632.0,28661.0,28311.0,27986.0,27705.0,27514.0,27327.0,27083.0,26658.0,26355.0,26147.0,26033.0,25674.0,25656.0,25433.0,25104.0,25170.0,25160.0,24810.0,24866.0,24558.0,24212.0,23874.0,23551.0,23334.0,23119,22817,22267.0,22229.0,21902.0,21505.0
M,88,22215.0,23434.0,24945.0,25712.0,26686.0,27620.0,28485.0,27854.0,27912.0,29014.0,30104.0,30120.0,31358.0,31663.0,33190.0,33773.0,33441.0,32974.0,32761.0,32012.0,32373.0,32155.0,32308.0,31079.0,30524.0,30031.0,29164.0,30391.0,28135.0,28244.0,27844.0,27503.0,27242.0,27047.0,26903.0,26619.0,26185.0,25922.0,25727.0,25599.0,25255.0,25189.0,24988.0,24686.0,24731.0,24723.0,24401.0,24428.0,24085.0,23761.0,23414.0,23098.0,22860,22667,22363.0,21821.0,21795.0,21485.0
M,89,20970.0,21783.0,23036.0,24534.0,25257.0,26244.0,27152.0,28027.0,27389.0,27449.0,28577.0,29624.0,29668.0,30869.0,31171.0,32687.0,33278.0,32957.0,32494.0,32253.0,31519.0,31894.0,31668.0,31772.0,30584.0,30049.0,29527.0,28706.0,29923.0,27700.0,27773.0,27403.0,27045.0,26777.0,26649.0,26475.0,26164.0,25746.0,25471.0,25301.0,25135.0,24841.0,24735.0,24581.0,24273.0,24276.0,24304.0,23953.0,23987.0,23651.0,23314.0,22990.0,22678,22420,22205.0,21933.0,21428.0,21359.0
M,90,21626.0,20970.0,21783.0,23036.0,24534.0,25257.0,26244.0,27152.0,28027.0,27389.0,27449.0,28577.0,29624.0,29668.0,30869.0,31171.0,32687.0,33278.0,32957.0,32494.0,32253.0,31519.0,31894.0,31668.0,31772.0,30584.0,30049.0,29527.0,28706.0,29923.0,27700.0,27773.0,27403.0,27045.0,26777.0,26649.0,26475.0,26164.0,25746.0,25471.0,25301.0,25135.0,24841.0,24735.0,24581.0,24273.0,24276.0,24304.0,23953.0,23987.0,23651.0,23314.0,22990,22678,22420.0,22205.0,21933.0,21428.0
M,91,16349.0,16314.0,15831.0,16464.0,17406.0,18568.0,19076.0,19840.0,20391.0,21070.0,20625.0,20682.0,21537.0,22381.0,22470.0,23232.0,23493.0,24607.0,25034.0,24803.0,24470.0,24349.0,23755.0,24075.0,23917.0,23951.0,23002.0,22671.0,22205.0,21598.0,22567.0,20952.0,20813.0,20391.0,20159.0,20163.0,19939.0,19713.0,19482.0,19171.0,19003.0,18852.0,18796.0,18529.0,18487.0,18414.0,18232.0,18133.0,18113.0,17905.0,17882.0,17715.0,17387,17272,16934.0,16661.0,16658.0,16386.0
M,92,12246.0,12341.0,12341.0,11848.0,12362.0,13032.0,13956.0,14307.0,14966.0,15366.0,15926.0,15480.0,15589.0,16277.0,16858.0,16995.0,17546.0,17720.0,18468.0,18786.0,18626.0,18303.0,18184.0,17853.0,18043.0,18008.0,18064.0,17314.0,17119.0,16809.0,16305.0,17088.0,15709.0,15602.0,15291.0,15102.0,15079.0,15001.0,14789.0,14548.0,14392.0,14268.0,14177.0,14138.0,13948.0,13942.0,13878.0,13716.0,13594.0,13588.0,13596.0,13428.0,13332,13114,12971.0,12657.0,12438.0,12608.0
M,93,8938.0,9164.0,9109.0,9191.0,8764.0,9173.0,9688.0,10450.0,10715.0,11297.0,11505.0,11922.0,11611.0,11667.0,12122.0,12653.0,12730.0,13081.0,13264.0,13855.0,14025.0,13937.0,13717.0,13538.0,13397.0,13518.0,13534.0,13562.0,12975.0,12851.0,12681.0,12253.0,12726.0,11854.0,11690.0,11380.0,11332.0,11318.0,11163.0,11051.0,10934.0,10823.0,10737.0,10604.0,10567.0,10440.0,10447.0,10365.0,10220.0,10223.0,10153.0,10184.0,9933,10027,9770.0,9741.0,9465.0,9356.0
M,94,6833.0,6779.0,6966.0,6891.0,6922.0,6601.0,6895.0,7276.0,7896.0,8058.0,8445.0,8572.0,8934.0,8638.0,8669.0,9066.0,9510.0,9601.0,9829.0,10005.0,10402.0,10530.0,10523.0,10359.0,10210.0,9993.0,10135.0,10071.0,10101.0,9698.0,9623.0,9462.0,9236.0,9453.0,8942.0,8798.0,8541.0,8520.0,8550.0,8419.0,8315.0,8289.0,8191.0,8061.0,8023.0,7973.0,7868.0,7891.0,7798.0,7708.0,7747.0,7689.0,7738,7408,7544.0,7285.0,7304.0,7099.0
