sex,alder,pop_2023,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,96,3129.0,3061.0,3000.0,2935.0,2899.0,2998.0,2886.0,2942.0,2904.0,2821.0,2836.0
K,97,2415.0,2315.0,2320.0,2197.0,2194.0,2195.0,2264.0,2155.0,2176.0,2181.0,2149.0
K,98,1805.0,1830.0,1789.0,1747.0,1634.0,1657.0,1645.0,1705.0,1596.0,1629.0,1640.0
K,99,1392.0,1332.0,1384.0,1319.0,1307.0,1234.0,1239.0,1258.0,1330.0,1184.0,1236.0
K,100,1013.0,1049.0,994.0,1031.0,989.0,990.0,920.0,922.0,947.0,985.0,874.0
K,101,389.0,392.0,416.0,391.0,392.0,378.0,401.0,372.0,353.0,373.0,376.0
K,102,152.0,134.0,155.0,151.0,144.0,162.0,154.0,148.0,143.0,146.0,146.0
K,103,60.0,55.0,59.0,74.0,57.0,54.0,64.0,58.0,58.0,55.0,66.0
K,104,25.0,25.0,23.0,22.0,28.0,21.0,23.0,25.0,24.0,22.0,23.0
K,105,3.0,8.0,9.0,9.0,10.0,11.0,7.0,6.0,9.0,11.0,6.0
K,106,6.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
K,107,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,,1.0
K,108,,,1.0,,,1.0,,,,1.0,
K,109,,,,1.0,,,1.0,,,,
M,0,15056.0,15040.0,14695.0,14819.0,14589.0,14542.0,14496.0,14248.0,14004.0,14106.0,14008.0
M,1,15224.0,15082.0,15063.0,14719.0,14841.0,14622.0,14566.0,14517.0,14265.0,14032.0,14133.0
M,2,15440.0,15251.0,15117.0,15094.0,14748.0,14867.0,14641.0,14594.0,14529.0,14278.0,14054.0
M,3,15575.0,15461.0,15277.0,15150.0,15115.0,14776.0,14887.0,14675.0,14624.0,14549.0,14302.0
M,4,15629.0,15600.0,15490.0,15308.0,15180.0,15135.0,14796.0,14898.0,14705.0,14638.0,14571.0
M,5,15896.0,15664.0,15625.0,15528.0,15336.0,15212.0,15150.0,14830.0,14919.0,14728.0,14661.0
M,6,15999.0,15925.0,15689.0,15653.0,15554.0,15368.0,15240.0,15174.0,14859.0,14947.0,14755.0
M,7,16204.0,16034.0,15948.0,15707.0,15671.0,15578.0,15395.0,15270.0,15197.0,14890.0,14971.0
M,8,16543.0,16240.0,16068.0,15971.0,15733.0,15696.0,15605.0,15421.0,15294.0,15221.0,14913.0
M,9,16558.0,16568.0,16272.0,16098.0,15993.0,15762.0,15716.0,15640.0,15448.0,15319.0,15237.0
M,10,16559.0,16586.0,16608.0,16298.0,16135.0,16030.0,15788.0,15748.0,15667.0,15475.0,15339.0
M,11,16808.0,16594.0,16620.0,16638.0,16336.0,16171.0,16053.0,15816.0,15768.0,15687.0,15504.0
M,12,16885.0,16834.0,16643.0,16654.0,16664.0,16365.0,16196.0,16080.0,15837.0,15799.0,15718.0
M,13,17015.0,16922.0,16864.0,16676.0,16684.0,16695.0,16387.0,16223.0,16104.0,15874.0,15825.0
M,14,17143.0,17053.0,16953.0,16893.0,16706.0,16721.0,16724.0,16413.0,16257.0,16127.0,15903.0
M,15,17390.0,17179.0,17090.0,16987.0,16922.0,16737.0,16740.0,16754.0,16447.0,16278.0,16154.0
M,16,17406.0,17433.0,17217.0,17128.0,17020.0,16954.0,16762.0,16770.0,16778.0,16478.0,16316.0
M,17,17626.0,17437.0,17468.0,17248.0,17164.0,17048.0,16985.0,16787.0,16797.0,16813.0,16508.0
M,18,18006.0,17657.0,17469.0,17500.0,17271.0,17188.0,17076.0,17013.0,16814.0,16829.0,16838.0
M,19,17943.0,18034.0,17689.0,17497.0,17537.0,17292.0,17221.0,17108.0,17038.0,16839.0,16854.0
M,20,18100.0,17972.0,18068.0,17723.0,17530.0,17577.0,17318.0,17250.0,17139.0,17060.0,16861.0
M,21,18358.0,18139.0,18004.0,18096.0,17757.0,17555.0,17603.0,17346.0,17279.0,17158.0,17090.0
M,22,18610.0,18386.0,18169.0,18030.0,18131.0,17791.0,17592.0,17633.0,17379.0,17319.0,17177.0
M,23,18693.0,18647.0,18425.0,18193.0,18063.0,18164.0,17811.0,17623.0,17662.0,17405.0,17334.0
M,24,18838.0,18727.0,18676.0,18462.0,18226.0,18097.0,18190.0,17833.0,17649.0,17687.0,17434.0
M,25,19090.0,18879.0,18768.0,18702.0,18498.0,18244.0,18131.0,18212.0,17871.0,17690.0,17715.0
M,26,19433.0,19119.0,18907.0,18800.0,18734.0,18537.0,18273.0,18162.0,18241.0,17897.0,17720.0
M,27,19389.0,19475.0,19162.0,18940.0,18839.0,18760.0,18570.0,18306.0,18190.0,18269.0,17925.0
M,28,19634.0,19414.0,19515.0,19206.0,18979.0,18869.0,18794.0,18602.0,18341.0,18220.0,18298.0
M,29,19742.0,19662.0,19454.0,19562.0,19238.0,19010.0,18899.0,18834.0,18628.0,18371.0,18249.0
M,30,20075.0,19774.0,19698.0,19490.0,19587.0,19285.0,19048.0,18931.0,18862.0,18655.0,18397.0
M,31,20455.0,20117.0,19819.0,19739.0,19517.0,19617.0,19326.0,19083.0,18967.0,18893.0,18685.0
M,32,20667.0,20495.0,20147.0,19855.0,19768.0,19549.0,19650.0,19362.0,19121.0,19005.0,18919.0
M,33,20559.0,20704.0,20533.0,20177.0,19886.0,19811.0,19588.0,19680.0,19389.0,19157.0,19032.0
M,34,20964.0,20609.0,20742.0,20567.0,20214.0,19928.0,19832.0,19618.0,19704.0,19423.0,19200.0
M,35,21166.0,20997.0,20633.0,20783.0,20606.0,20257.0,19963.0,19862.0,19648.0,19735.0,19452.0
M,36,21366.0,21194.0,21028.0,20680.0,20830.0,20639.0,20290.0,20005.0,19897.0,19672.0,19758.0
