sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113
K,10,20316.0,20190.0,20147.0,19595.0,19384.0,19332.0,19182.0,19065.0,18733.0,18768.0,18500.0,18346.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16918.0,16935.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15930.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14671.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13733.0,13643.0,13560.0,13282.0,13162.0,13282.0,12877.0,12765.0,12753.0
K,11,20552.0,20316.0,20190.0,20147.0,19595.0,19384.0,19332.0,19182.0,19065.0,18733.0,18768.0,18500.0,18346.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16918.0,16935.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15930.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14670.0,14406.0,14341.0,14114.0,13899.0,13966.0,13739.0,13733.0,13643.0,13560.0,13282.0,13162.0,13282.0,12877.0,12765.0
K,12,20953.0,20552.0,20316.0,20190.0,20147.0,19595.0,19384.0,19332.0,19182.0,19065.0,18733.0,18768.0,18500.0,18346.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16918.0,16935.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15930.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14670.0,14406.0,14341.0,14114.0,13898.0,13966.0,13739.0,13733.0,13643.0,13560.0,13282.0,13162.0,13282.0,12877.0
K,13,21283.0,20953.0,20552.0,20315.0,20190.0,20147.0,19594.0,19384.0,19332.0,19181.0,19065.0,18733.0,18768.0,18500.0,18346.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16918.0,16935.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15930.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14670.0,14406.0,14341.0,14114.0,13896.0,13966.0,13739.0,13732.0,13643.0,13560.0,13282.0,13162.0,13282.0
K,14,21169.0,21283.0,20953.0,20552.0,20315.0,20190.0,20147.0,19594.0,19384.0,19332.0,19181.0,19065.0,18732.0,18768.0,18500.0,18346.0,18071.0,18176.0,17963.0,17865.0,17664.0,17465.0,17344.0,17203.0,16918.0,16934.0,16738.0,16528.0,16423.0,16306.0,16073.0,15995.0,15930.0,15591.0,15367.0,15103.0,15039.0,15027.0,14849.0,14670.0,14406.0,14341.0,14114.0,13896.0,13966.0,13739.0,13732.0,13643.0,13560.0,13282.0,13162.0
K,15,21747.0,21168.0,21283.0,20953.0,20551.0,20315.0,20190.0,20147.0,19594.0,19384.0,19332.0,19181.0,19065.0,18732.0,18768.0,18500.0,18346.0,18071.0,18176.0,17962.0,17865.0,17663.0,17465.0,17344.0,17203.0,16918.0,16934.0,16738.0,16528.0,16423.0,16305.0,16073.0,15994.0,15929.0,15590.0,15366.0,15103.0,15039.0,15027.0,14848.0,14670.0,14406.0,14341.0,14113.0,13896.0,13965.0,13739.0,13732.0,13642.0,13560.0,13282.0
K,16,22217.0,21747.0,21167.0,21283.0,20953.0,20551.0,20314.0,20189.0,20147.0,19593.0,19382.0,19331.0,19181.0,19065.0,18732.0,18768.0,18500.0,18346.0,18071.0,18176.0,17962.0,17865.0,17663.0,17464.0,17344.0,17203.0,16917.0,16934.0,16738.0,16527.0,16422.0,16305.0,16073.0,15994.0,15929.0,15590.0,15365.0,15103.0,15039.0,15027.0,14848.0,14669.0,14406.0,14341.0,14113.0,13896.0,13965.0,13739.0,13731.0,13641.0,13560.0
K,17,22315.0,22217.0,21746.0,21165.0,21283.0,20953.0,20551.0,20313.0,20189.0,20147.0,19592.0,19381.0,19330.0,19180.0,19065.0,18732.0,18767.0,18500.0,18346.0,18070.0,18176.0,17961.0,17864.0,17663.0,17464.0,17343.0,17203.0,16917.0,16934.0,16738.0,16527.0,16422.0,16305.0,16073.0,15994.0,15929.0,15590.0,15365.0,15103.0,15039.0,15027.0,14848.0,14669.0,14406.0,14341.0,14112.0,13896.0,13965.0,13739.0,13731.0,13641.0
K,18,22470.0,22315.0,22216.0,21745.0,21165.0,21283.0,20953.0,20549.0,20313.0,20189.0,20145.0,19591.0,19380.0,19330.0,19180.0,19065.0,18732.0,18766.0,18500.0,18345.0,18070.0,18176.0,17961.0,17864.0,17663.0,17464.0,17343.0,17202.0,16915.0,16933.0,16738.0,16527.0,16422.0,16305.0,16073.0,15994.0,15929.0,15590.0,15365.0,15103.0,15039.0,15027.0,14848.0,14669.0,14405.0,14341.0,14111.0,13896.0,13964.0,13739.0,13731.0
K,19,22827.0,22470.0,22315.0,22216.0,21745.0,21165.0,21280.0,20953.0,20549.0,20312.0,20189.0,20145.0,19591.0,19380.0,19329.0,19180.0,19064.0,18732.0,18766.0,18500.0,18345.0,18070.0,18176.0,17960.0,17863.0,17662.0,17464.0,17343.0,17202.0,16915.0,16933.0,16737.0,16527.0,16422.0,16304.0,16072.0,15994.0,15929.0,15590.0,15365.0,15102.0,15039.0,15026.0,14848.0,14669.0,14404.0,14341.0,14111.0,13895.0,13964.0,13739.0
K,20,22737.0,22827.0,22470.0,22315.0,22215.0,21744.0,21165.0,21280.0,20953.0,20548.0,20311.0,20188.0,20144.0,19591.0,19380.0,19329.0,19180.0,19062.0,18732.0,18765.0,18500.0,18345.0,18070.0,18176.0,17960.0,17862.0,17662.0,17464.0,17342.0,17202.0,16915.0,16932.0,16737.0,16526.0,16422.0,16302.0,16072.0,15994.0,15929.0,15590.0,15365.0,15102.0,15037.0,15026.0,14848.0,14669.0,14404.0,14341.0,14111.0,13895.0,13964.0
K,21,23359.0,22736.0,22827.0,22469.0,22315.0,22213.0,21744.0,21165.0,21280.0,20953.0,20547.0,20311.0,20188.0,20144.0,19591.0,19380.0,19329.0,19180.0,19062.0,18732.0,18765.0,18499.0,18344.0,18070.0,18176.0,17960.0,17861.0,17662.0,17464.0,17342.0,17202.0,16914.0,16932.0,16737.0,16525.0,16422.0,16302.0,16072.0,15994.0,15928.0,15590.0,15365.0,15101.0,15037.0,15026.0,14848.0,14668.0,14404.0,14341.0,14111.0,13895.0
K,22,23314.0,23357.0,22736.0,22826.0,22468.0,22313.0,22212.0,21744.0,21165.0,21280.0,20950.0,20546.0,20311.0,20186.0,20144.0,19591.0,19380.0,19329.0,19179.0,19062.0,18732.0,18765.0,18499.0,18344.0,18070.0,18176.0,17960.0,17861.0,17662.0,17463.0,17341.0,17202.0,16914.0,16932.0,16736.0,16524.0,16422.0,16302.0,16071.0,15994.0,15928.0,15590.0,15365.0,15101.0,15037.0,15026.0,14848.0,14668.0,14404.0,14341.0,14111.0
K,23,23378.0,23313.0,23357.0,22736.0,22826.0,22468.0,22313.0,22211.0,21743.0,21164.0,21278.0,20950.0,20546.0,20311.0,20186.0,20144.0,19590.0,19379.0,19329.0,19178.0,19062.0,18732.0,18764.0,18498.0,18344.0,18070.0,18176.0,17960.0,17861.0,17662.0,17463.0,17341.0,17201.0,16914.0,16931.0,16734.0,16524.0,16422.0,16301.0,16071.0,15994.0,15927.0,15590.0,15364.0,15101.0,15036.0,15025.0,14848.0,14668.0,14404.0,14340.0
K,24,23626.0,23377.0,23313.0,23356.0,22735.0,22825.0,22467.0,22313.0,22210.0,21743.0,21164.0,21277.0,20949.0,20546.0,20311.0,20186.0,20143.0,19589.0,19378.0,19327.0,19178.0,19062.0,18731.0,18764.0,18498.0,18342.0,18070.0,18175.0,17959.0,17861.0,17662.0,17463.0,17341.0,17200.0,16914.0,16931.0,16734.0,16523.0,16422.0,16300.0,16071.0,15994.0,15927.0,15590.0,15364.0,15101.0,15036.0,15025.0,14848.0,14667.0,14404.0
K,25,23923.0,23626.0,23376.0,23312.0,23354.0,22734.0,22823.0,22467.0,22313.0,22210.0,21742.0,21163.0,21277.0,20947.0,20544.0,20310.0,20186.0,20143.0,19588.0,19376.0,19326.0,19178.0,19062.0,18731.0,18764.0,18497.0,18342.0,18069.0,18175.0,17959.0,17861.0,17662.0,17463.0,17340.0,17200.0,16914.0,16930.0,16733.0,16523.0,16421.0,16299.0,16071.0,15993.0,15926.0,15590.0,15364.0,15101.0,15036.0,15024.0,14848.0,14667.0
